ResourceName,Category,Resource Contact Person,CoalitionMember,Telephone,Email,Website,Address,Zipcode,Service Description
Bilingual Center School,Food Pantries,,FALSE,816-3688,,,157 Elk St Buffalo . ,14204,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
MJD Futures Preparatory School,Food Pantries,,FALSE,816-3688,,,295 Carlton St Buffalo . ,14204,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
Lovejoy Discovery School,Food Pantries,,FALSE,816-3688,,,161 Benzinger St Buffalo . ,14206,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
Charles Drew Science Magnet,Food Pantries,,FALSE,816-3688,,,"1 Martin Luther King Park, Buffalo . ",14208,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
Roosevelt Academy,Food Pantries,,FALSE,816-3688,,,249 Skillen St Buffalo . ,14207,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
North Park Academy,Food Pantries,,FALSE,816-3688,,,780 Parkside Ave Buffalo . ,14216,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
Discovery School,Food Pantries,,FALSE,816-3688,,,911 Abbott Rd Buffalo . ,14220,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
Hamlin Park Elementary,Food Pantries,,FALSE,816-3688,,,126 Donaldson Rd Buffalo . ,14211,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
Herman Badillo Bil. Acad,Food Pantries,,FALSE,816-3688,,,300 S Elmwood Ave Buffalo . ,14201,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
Highgate Heights,Food Pantries,,FALSE,816-3688,,,600 Highgate Ave Buffalo . ,14215,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
Dr. Lydia T. Wright,Food Pantries,,FALSE,816-3688,,,106 Appenheimer Ave Buffalo . ,14214,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
BUILD Academy,Food Pantries,,FALSE,816-3688,,,340 Fougeron St Buffalo . ,14211,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
Southside Academy,Food Pantries,,FALSE,816-3688,,,430 Southside Pkwy Buffalo . ,14210,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
West Hertel Academy,Food Pantries,,FALSE,816-3688,,,489 Hertel Ave Buffalo . ,14207,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
Harvey Austin,Food Pantries,,FALSE,816-3688,,,1405 Sycamore St Buffalo . ,14211,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
Frederick Law Olmsted,Food Pantries,,FALSE,816-3688,,,319 Suffolk St Buffalo . ,14215,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
International Prep,Food Pantries,,FALSE,816-3688,,,110 14th St Buffalo . ,14213,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
Bennett High School,Food Pantries,,FALSE,816-3688,,,2885 Main St Buffalo . ,14214,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
South Park High School,Food Pantries,,FALSE,816-3688,,,150 Southside Pkwy Buffalo . ,14210,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
Lafayette High School,Food Pantries,,FALSE,816-3688,,,370 Lafayette Ave Buffalo . ,14213,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
Riverside High School,Food Pantries,,FALSE,816-3688,,,51 Ontario St Buffalo . ,14207,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
East High School,Food Pantries,,FALSE,816-3688,,,820 Northampton St Buffalo . ,14211,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
West Buffalo Charter Sch,Food Pantries,,FALSE,816-3688,,,113 Lafayette Ave Buffalo . ,14213,"MEALS AVAILABLE ON MONDAY, WEDNESDAY & FRIDAY - Beginning Monday, March 23, 2020 . Will be open to provide breakfast and lunch to families with students in the Buffalo Community . • Schools will be open from 11:00 am – 1:00 pm, Monday, Wednesday and Friday . • Any child 18 years of age and younger may receive these meals . • Adults may pick up meals for their household members . • Please BRING a bag to carry out the meal(s) . Questions or Concerns please call the Food Service Department at 816-3688. . Monday- 2 lunches and 2 breakfast to be consumed at home on Monday and Tuesday . Wednesday - 2 lunches and 2 breakfast to be consumed at home on Wednesday and Thursday . Friday - 1 lunch and 1 breakfast to be consumed at home on Friday . (Breakfast packages are for the next morning) . Alternate menu choices will be available for students with allergies and special dietary needs. . "
Wilson Street Urban Farms,Urban farm stands,,FALSE,716-853-7316,wilsonstreeturbanfarm@gmail.com,,"812 Fillmore Ave, Buffalo, NY 14212 . ",14212,1-716-853-7316 . email: wilsonstreeturbanfarm@gmail.com . 
5 Loaves Farm,Urban farm stands,,FALSE,716-803-9241,,https://5loavesfarm.org/,"1172 West Ave, Buffalo, NY 14213 . ",14213,1 716-803-9241 . Website: loavesfarm.org . 
WestSide Tilth Farm,Urban farm stands,,FALSE,716-427-8401,,westsidetilth.com ,"246 Normal Ave, Buffalo, NY 14213 . ",14213,1 716-427-8401 . website: westsidetilth.com . 
Common Roots Urban Farm,Urban farm stands,,FALSE,716-292-9109,,www.commonrootsurbanfarm.com,"309 Peckham St, Buffalo, NY 14206 . ",14206,1 716-292-9109 . website: www.commonrootsurbanfarm.com . 
Massachusetts Avenue Project,Urban farm stands,,FALSE,716-882-5327,,mass-ave.org,"387 Massachusetts Ave, Buffalo, NY 14213 . ",14213,1 716-882-5327 . website: mass-ave.org . 
African Heritage Food Co,Urban farm stands,,FALSE,716-573-1844,ahfcinfo@gmail.com,myafhc.org,"132 Edison Ave Buffalo, NY . ",14215,"Website: myafhc.org	 . 716-573-1844	 . ahfcinfo@gmail.com . "
Brewster Street Farm,Urban farm stands,,FALSE,(716) 262-5308,https://www.jersbuffalo.org/brewster-street-farm,ldawes@jersbuffalo.org,"119 Jewett Ave, Buffalo, NY 14214 . ",14214,"Website . https://www.jersbuffalo.org/brewster-street-farm	 . (716) 262-5308 . ldawes@jersbuffalo.org . "
Flat #12 Mushrooms,Urban farm stands,,FALSE,(716) 903-5098,,flat12mushrooms@icloud.com,"37 Chandler St Buffalo, New York 14213	 . ",14207,"	(716) 903-5098	 . flat12mushrooms@icloud.com . "
Gro-Operative,Urban farm stands,,FALSE,(716) 320-0233,info@grooperative.com,grooperative.org,"1430 Clinton St Buffalo, NY 14206 . ",14206,"	 . Website:  . grooperative.org	 . (716) 320-0233	 . info@grooperative.com . "
Groundwork Market Garden,Urban farm stands,,FALSE,(716) 908-7396, groundworkmg.com,groundworkmg@gmail.com,"1698 Genesee St, Buffalo, NY 14211	 . ",14211,"Website . groundworkmg.com . 	(716) 908-7396	 . groundworkmg@gmail.com . "
Kubed Root,Urban farm stands,,FALSE,(716)427-3170, kubedroot.com,info@kubedroot.com,"33 Pannell St. #1 Buffalo, NY 14214	 . ",14214,"Webiste . kubedroot.com	 . (716)427-3170	 . info@kubedroot.com . "
Michigan,Urban farm stands,,FALSE,716-863-6186,https://michiganrileyfarm.wordpress.com/,michiganrileyfarm@gmail.com,"108 Riley St, Buffalo, NY 14209 . ",14209,"	https://michiganrileyfarm.wordpress.com/	 . 716-863-6186 . michiganrileyfarm@gmail.com . "
Promise Valley,Urban farm stands,,FALSE,(716) 822-5631,https://www.facebook.com/SenecaGospelMission/,aaronbelleville@yahoo.com,"462 Elk St, Buffalo, New York	 . ",14210,"https://www.facebook.com/SenecaGospelMission/	 . (716) 822-5631	 . aaronbelleville@yahoo.com . "
Urban Fruits & Veggies,Urban farm stands,,FALSE,716-982-1270,https://www.urbanfv.com/,dehonn@outlook.com,"Dupont St. and Glenwood Ave. Buffalo, NY 14208	 . ",14208,"https://www.urbanfv.com/	 . 716-982-1270	 . dehonn@outlook.com . "
Vertical Fresh Farms,Urban farm stands,,FALSE,,jeremywitt1@gmail.com,verticalfreshfarms.com,"1585 Kenmore Avenue Buffalo, NY 14217	 . ",14217,"verticalfreshfarms.com	 . Email . 	jeremywitt1@gmail.com . "
Westside Tilth Farm,Urban farm stands,,FALSE,(716) 427-8401,westsidetilth@gmail.com ,westsidetilth.com,"246 Normal Ave Buffalo, New York	 . ",14213,"westsidetilth.com	 . (716) 427-8401  .  westsidetilth@gmail.com . "
Wilson Street Urban Farm,Urban farm stands,,FALSE,(716) 853-7316,wilsonstreeturbanfarm@gmail.com,https://wilsonstreeturbanfarm.wordpress.com,"328 Wilson Street Buffalo, NY 14212	 . ",14212,"https://wilsonstreeturbanfarm.wordpress.com/ . 	(716) 853-7316	wilsonstreeturbanfarm@gmail.com . "
Farmer Pirates,Urban farm stands,,FALSE,,,farmerpirates.com,"0 Gittere St, Buffalo, NY 14211 . ",14211,Website . farmerpirates.com . 
Farm Fresh,,,FALSE,,,,"2724 Bailey Ave, Buffalo, NY 14215 . ",14215,
Food Plus Market,,,FALSE,,,,"414 E Amherst St, Buffalo, NY 14215 . ",14215,
Trade Fair Food Mart,,,FALSE,,,,"1345 E Delavan Ave, Buffalo, NY 14215 . ",14215,
Mandela's Market,,,FALSE,,,,"272 E Ferry St, Buffalo, NY 14208 . ",14208,
Right Price,,,FALSE,,,,"2887 Bailey Ave, Buffalo, NY 14215 . ",14215,
Lucky's,,,FALSE,,,,"729 Sycamore St, Buffalo, NY 14212 . ",14212,
Buffalo's Golden Corner,,,FALSE,,,,"1715 Jefferson Ave, Buffalo, NY 14208 . ",14208,
WNY Brothers Enterprise,,,FALSE,,,,"900 Kensington Ave, Buffalo, NY 14215 . ",14215,
50/50 Express,,,FALSE,,,,"3209 Bailey Ave, Buffalo, NY 14215 . ",14215,
Family Dollar,,,FALSE,,,,"3364 Bailey Ave, Buffalo, NY 14215 . ",14215,
Grant Variety,,,FALSE,,,,"1055 E Ferry St, Buffalo, NY 14211 . ",14211,
Clinton Bailey Farmers Market,,,FALSE,,,,1443 Clinton St Buffalo . ,14206,
Hamyar Food Corp,,,FALSE,,,,449 William St Buffalo . ,14204,
Tops Friendly Markets,,,FALSE,,,,"425 Niagara St, Buffalo, NY . ",14201,
A D Asian Variety Mart Inc,,,FALSE,,,,977 Sycamore St Buffalo . ,14212,
African Market,,,FALSE,,,,355 Grant St Buffalo . ,14213,
ALDI,,,FALSE,,,,2090 Elmwood Ave Buffalo . ,14217,
ALDI,,,FALSE,,,,3060 Main St Buffalo . ,14221,
ALDI,,,FALSE,,,,998 Broadway St Buffalo . ,14212,
An Chau Asian Market,,,FALSE,,,,3306 Bailey Ave Buffalo . ,14215,
B Rite Super Market,,,FALSE,,,,905 Clinton St Buffalo . ,14210,
Chez Camer Rock Centero Market,,,FALSE,,,,941 Niagara St Buffalo . ,14213,
Community Food & Meat Market,,,FALSE,,,,535 Walden Ave Buffalo . ,14211,
Foodland,,,FALSE,,,,1105 Broadway Buffalo . ,14212,
H Tarnisorn Asian Market,,,FALSE,,,,472 Ontario St Buffalo . ,14207,
Halal Market & Bakery Inc,,,FALSE,,,,1426 Fillmore Ave Buffalo . ,14211,
KAT Food Market,,,FALSE,,,,287 Grant St Buffalo . ,14213,
Lucky 7 Asian Market,,,FALSE,,,,931 Niagara St Buffalo . ,14213,
Marka Halal Market,,,FALSE,,,,188 Grant St Buffalo . ,14213,
Phuthai Grocery Store,,,FALSE,,,,356 Connecticut St Buffalo . ,14213,
Sagmatha LLC,,,FALSE,,,,489 Grant St Buffalo . ,14213,
Save - Lot Food Stores,,,FALSE,,,,142 Grant St Buffalo . ,14213,
Save - Lot Food Stores,,,FALSE,,,,2160 Genesee St Buffalo . ,14211,
Save - Lot Food Stores,,,FALSE,,,,999 Broadway Buffalo . ,14212,
Tops Friendly Market,,,FALSE,,,,1275 Jefferson Ave Buffalo . ,14208,
Tops Friendly Market,,,FALSE,,,,1770 Broadway Buffalo . ,14212,
Tops Friendly Market,,,FALSE,,,,1989 Seneca St Buffalo . ,14210,
Tops Friendly Market,,,FALSE,,,,345 Amherst St Buffalo . ,14207,
United Grocery & Halal Meat,,,FALSE,,,,331 Vermont St Buffalo . ,14213,
Vineeta International Foods,,,FALSE,,,,96 Grant St Buffalo . ,14213,
Wegmans,,,FALSE,,,,601 Amherst St Buffalo . ,14207,
Yasin Market,,,FALSE,,,,1044 Grant St Buffalo . ,14207,
Alnoor Grocery,,,FALSE,,,,1200 Hertel Ave Buffalo . ,14216,
Caruso Imports,,,FALSE,,,,1212 Hertel Ave Buffalo . ,14216,
Dash Markets,,,FALSE,,,,1770 Hertel Ave Buffalo . ,14216,
Pricerite Of Kenmore Avenue,,,FALSE,,,,1716 Kenmore Ave Buffalo . ,14216,
Tops Friendly Market,,,FALSE,,,,1460 South Park Ave Buffalo . ,14220,
D Market Elmwood,,,FALSE,,,,214 Elmwood Ave Buffalo . ,14222,
Lexington Real Foods Co - Op,,,FALSE,,,,807 Elmwood Ave Buffalo . ,14222,
Price Rite Of Stuyvesant Plaza,,,FALSE,,,,250 Elmwood Ave Buffalo . ,14222,
Golden Burma Asia Foods Inc,,,FALSE,,,,92 Grant St Buffalo . ,14213,
Super Price Choppers,,,FALSE,,,,1580 Genesee St Buffalo . ,14211,
Dashs Market,,,FALSE,,,,1770 Hertel Ave Buffalo . ,14216,
Sunset Fruit & Vegetable Co,,,FALSE,,,,1443 Clinton St Buffalo . ,14206,
Famous Horseradish,,,FALSE,,,,999 Broadway #104 Buffalo . ,14212,
Guercio's Market & Produce,,,FALSE,,,,250 Grant St Buffalo . ,14213,
Lewandowski Produce,,,FALSE,,,,999 Broadway Buffalo . ,14212,
Shakers Nice Prize Market,,,FALSE,,,,66 Grant St Buffalo . ,14213,
Clinton Bailey Farmers Market,,,FALSE,,,,1443 Clinton St Buffalo . ,14206,
Rolack Seafood,,,FALSE,,,,571 William St Buffalo . ,14206,
Broadway Seafood,,,FALSE,,,,999 Broadway #23 Buffalo . ,14212,
Dispenza's Meat Market,,,FALSE,,,,461 Ellicott St Buffalo . ,14203,
Lupas Petru,,,FALSE,,,,34 Broadway Buffalo . ,14204,
